Person,FuD-ID,Feld,VIAF-Nummer
"Bidau(l)t, Monsieur (Notar in Tours)",6616,viaf,
"Biergans, Joseph Wilhelm (Staatsanwalt in Köln)",4356,viaf,http://viaf.org/viaf/32741389
"Bigaux, Madame",5159,viaf,
"Bigland, John",3029,viaf,http://viaf.org/viaf/66456447
"Bignan, Anne",2200,viaf,http://viaf.org/viaf/76409620
"Bignan, Madame",6509,viaf,
"Bigot de Préameneu, Félix Julien Jean",2172,viaf,http://viaf.org/viaf/14902929
"Bigottini, Émilie",5425,viaf,http://viaf.org/viaf/25346984
"Billington, Elisabeth",2569,viaf,http://viaf.org/viaf/54583122
"Billy, Jean-Louis de",1899,viaf,http://viaf.org/viaf/313410977
"Binet, René",3366,viaf,http://viaf.org/viaf/15088313
"Bis, Monsieur",5031,viaf,
"Bischoff, Prof. (Professor der Botanik in Heidelberg)",5688,viaf,
"Bisseret, comte de",6193,viaf,
"Bitaubé, Paul Jérémie",3119,viaf,http://viaf.org/viaf/73965562
"Blacas d’Aulps, Pierre-Louis de",4547,viaf,http://viaf.org/viaf/20825975
"Blacas, comtesse de",4234,viaf,
"Blacas, Monsieur de",4199,viaf,
"Blaikie, Thomas",4187,viaf,http://viaf.org/viaf/27223442
"Blanchard, Madame",4790,viaf,
"Blanchard, Monsieur",4901,viaf,
"Blanqui, Adolphe",6237,viaf,http://viaf.org/viaf/106962398
"Blein, François-Ange-Alexandre",3404,viaf,http://viaf.org/viaf/42186094
"Blondeau, Marie-Catherine",6578,viaf,http://viaf.org/viaf/7498278
"Blondeau, Monsieur (Verleger?)",6353,viaf,
"Blot-Lequesne, Jean-Baptiste",6527,viaf,http://viaf.org/viaf/281629957
"Blücher, Gebhard Leberecht von",4124,viaf,http://viaf.org/viaf/27118005
"Bocage, eigentl. Tousez, Pierre-Martinien",3790,viaf,http://viaf.org/viaf/76580216
"Boccaccio, Giovanni",2816,viaf,http://viaf.org/viaf/64002165
"Bodelschwingh, Ernst von",3134,viaf,http://viaf.org/viaf/5724647
"Bodmont, Olympe Mademoiselle",4104,viaf,
"Böhnen (?), Baron von",5155,viaf,
"Boersch, Charles",6453,viaf,http://viaf.org/viaf/24946570
"Bohrer, Max (Cellist)",6319,viaf,http://viaf.org/viaf/20426715
"Bohrman, Landrat",5811,viaf,
"Boieldieu, François-Adrien",3153,viaf,http://viaf.org/viaf/73962796
"Boigne, Benoît, comte de",3376,viaf,http://viaf.org/viaf/20479503
"Boileau, Nicolas",2253,viaf,http://viaf.org/viaf/233199498
"Boilly, Louis Léopold",3836,viaf,http://viaf.org/viaf/47026079
"Boisemont, Madame de",5874,viaf,
"Boismont, Madame de",6078,viaf,
"Boissard, Georges-David-Frédéric",2674,viaf,http://viaf.org/viaf/17459200
"Boissière, Monsieur",4190,viaf,
"Boissin, Mademoiselle",5828,viaf,
"Boissonade, Jean-François",4073,viaf,http://viaf.org/viaf/39430770
"Boissy d'Anglas, François-Antoine",2949,viaf,http://viaf.org/viaf/36956606
"Bolívar, Simón",3235,viaf,http://viaf.org/viaf/35731693
"Bombelles, Marc Marie, marquis de",5054,viaf,http://viaf.org/viaf/22138750
"Bomet, Madame",4410,viaf,
"Bonafour, Monsieur (aus Lyon?)",3767,viaf,
"Bonafous, Matthieu",3386,viaf,http://viaf.org/viaf/267152636122620051874
"Bonald, Louis, vicomte de",3296,viaf,http://viaf.org/viaf/61542132
"Bonald, Louis-Jacques-Maurice de (Erzbischof von Lyon)",6392,viaf,http://viaf.org/viaf/34501983
"Bonald, Monsieur [de]",4432,viaf,
"Bonaparte, Charles-Lucien, Prinz von Canino",6399,viaf,http://viaf.org/viaf/46869293
"Bonaparte, Élisa",2922,viaf,http://viaf.org/viaf/4938897
