Person,Siehe auch,FuD-ID,Feld
Aratos von Soloi,"['http://catalogue.bnf.fr/ark:/12148/cb11889012h', 'http://dbpedia.org/resource/Aratus', 'http://isni.org/isni/0000000121455096', 'http://viaf.org/viaf/100908520', 'http://www.portraitindex.de/dokumente/pnd/118645552', 'http://www.wikidata.org/entity/Q180671', 'https://d-nb.info/gnd/1089139187', 'https://d-nb.info/gnd/108971498X', 'https://d-nb.info/gnd/108992187X', 'https://d-nb.info/gnd/118645552/about', 'https://d-nb.info/gnd/171952847', 'https://de.wikipedia.org/wiki/Aratos_von_Soloi', 'https://de.wikisource.org/wiki/Aratos_von_Soloi', 'https://en.wikipedia.org/wiki/Aratus', 'https://kalliope-verbund.info/gnd/118645552', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118645552']",2400,gnd
"Arblay, Monsieur d' (Onkel von Joséphine de Théis)",,5167,gnd
"Ardaillon, Jacques Marie",,4117,gnd
"Arenberg, Pierre, d'",,5199,gnd
"Arenberg, Prinz von",,4627,gnd
"Arenberg, Prosper Ludwig, Herzog von","['http://dbpedia.org/resource/Prosper_Louis,_Duke_of_Arenberg', 'http://id.loc.gov/rwo/agents/n2020024055', 'http://isni.org/isni/000000011532046X', 'http://viaf.org/viaf/168257761', 'http://www.wikidata.org/entity/Q534945', 'https://d-nb.info/gnd/116320109/about', 'https://de.wikipedia.org/wiki/Prosper_Ludwig_%28Arenberg%29', 'https://en.wikipedia.org/wiki/Prosper_Louis%2C_7th_Duke_of_Arenberg', 'https://kalliope-verbund.info/gnd/116320109', 'https://www.archivportal-d.de/person/gnd/116320109', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/116320109']",3197,gnd
"Arentz, Monsieur",,5822,gnd
"Aretino, Pietro","['http://dbpedia.org/resource/Pietro_Aretino', 'http://id.loc.gov/rwo/agents/n79089193', 'http://isni.org/isni/0000000121020148', 'http://viaf.org/viaf/66609417', 'http://www.portraitindex.de/dokumente/pnd/118650033', 'http://www.wikidata.org/entity/Q296272', 'https://d-nb.info/gnd/118650033/about', 'https://de.wikipedia.org/wiki/Pietro_Aretino', 'https://de.wikisource.org/wiki/Pietro_Aretino', 'https://en.wikipedia.org/wiki/Pietro_Aretino', 'https://kalliope-verbund.info/gnd/118650033', 'https://www.archivportal-d.de/person/gnd/118650033', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118650033']",3234,gnd
"Aretz, Johann Anton (Priester)","['http://viaf.org/viaf/3682040', 'https://d-nb.info/gnd/134092090/about']",6580,gnd
"Argenson, Marc-René de Voyer de Paulmy, 4e marquis d'","['http://catalogue.bnf.fr/ark:/12148/cb14319760d', 'http://id.loc.gov/rwo/agents/n91103354', 'http://isni.org/isni/0000000063089744', 'http://viaf.org/viaf/17434976', 'http://www.portraitindex.de/dokumente/pnd/12889590X', 'http://www.wikidata.org/entity/Q2743823', 'https://d-nb.info/gnd/12889590X/about', 'https://en.wikipedia.org/wiki/Marc-Ren%C3%A9_de_Voyer_de_Paulmy_d%27Argenson_%281771%E2%80%931842%29', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/12889590X']",6427,gnd
"Argenson, René Louis de Voyer, marquis de Paulmy, marquis d'","['http://catalogue.bnf.fr/ark:/12148/cb13179594x', ""http://dbpedia.org/resource/Ren%C3%A9_Louis_de_Voyer_de_Paulmy_d'Argenson"", 'http://id.loc.gov/rwo/agents/n83165778', 'http://isni.org/isni/0000000110716692', 'http://viaf.org/viaf/184925137', 'http://www.portraitindex.de/dokumente/pnd/118796380', 'http://www.wikidata.org/entity/Q1393507', 'https://d-nb.info/gnd/118796380/about', 'https://de.wikipedia.org/wiki/Ren%C3%A9_Louis_d%E2%80%99Argenson', 'https://en.wikipedia.org/wiki/Ren%C3%A9_Louis_de_Voyer_de_Paulmy_d%27Argenson', 'https://kalliope-verbund.info/gnd/118796380', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118796380']",4669,gnd
"Argout, comte d'","['http://id.loc.gov/rwo/agents/n88108635', 'http://isni.org/isni/0000000082380211', 'http://viaf.org/viaf/55699981', 'http://www.wikidata.org/entity/Q1949376', 'https://d-nb.info/gnd/100419127', 'https://d-nb.info/gnd/100976646', 'https://d-nb.info/gnd/116340177/about', 'https://d-nb.info/gnd/155530283', 'https://d-nb.info/gnd/171953282', 'https://en.wikipedia.org/wiki/Antoine_Maurice_Apollinaire_d%27Argout', 'https://kalliope-verbund.info/gnd/116340177', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/116340177']",5778,gnd
"Ariosto, Ludovico, gen. Ariost","['http://catalogue.bnf.fr/ark:/12148/cb11889084c', 'http://dbpedia.org/resource/Ludovico_Ariosto', 'http://id.loc.gov/rwo/agents/n79041715', 'http://isni.org/isni/0000000121385817', 'http://viaf.org/viaf/71386455', 'http://www.portraitindex.de/dokumente/pnd/118503952', 'http://www.wikidata.org/entity/Q48900', 'https://d-nb.info/gnd/118503952/about', 'https://de.wikipedia.org/wiki/Ludovico_Ariosto', 'https://de.wikisource.org/wiki/Ludovico_Ariosto', 'https://en.wikipedia.org/wiki/Ludovico_Ariosto', 'https://kalliope-verbund.info/gnd/118503952', 'https://www.archivportal-d.de/person/gnd/118503952', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118503952']",2815,gnd
Aristippos von Kyrene,"['http://dbpedia.org/resource/Aristippus', 'http://viaf.org/viaf/5724469', 'http://www.portraitindex.de/dokumente/pnd/118650114', 'http://www.wikidata.org/entity/Q189506', 'https://d-nb.info/gnd/118650114/about', 'https://kalliope-verbund.info/gnd/118650114', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118650114']",2670,gnd
