Source,Target
"David d'Angers, eigentl. Pierre Jean David","Salm, Constance de (CdS)"
"Ladoucette, Jean Charles François, baron de","Salm, Constance de (CdS)"
"Villenave, Mathieu-Guillaume-Thérèse","Salm, Constance de (CdS)"
"Salm, Constance de (CdS)","Barbier, Antoine-Alexandre"
"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)","Barbier, Antoine-Alexandre"
"Girodet-Trioson, Anne-Louis, eigentl. Girodet de Roussy","Salm, Constance de (CdS)"
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)","Salm, Constance de (CdS)"
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)","Salm, Constance de (CdS)"
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)","Salm, Constance de (CdS)"
"Stassart, Goswin Joseph Augustin, baron de","Salm, Constance de (CdS)"
"Sobry, Adrienne","Salm, Constance de (CdS)"
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)","Salm, Constance de (CdS)"
"Sanson de Pongerville, Jean-Baptiste","Salm, Constance de (CdS)"
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)","Salm, Constance de (CdS)"
"Lenoir, Alexandre","Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)"
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)","Salm, Constance de (CdS)"
"Villenave, Mathieu-Guillaume-Thérèse","Salm, Constance de (CdS)"
"Villenave, Mathieu-Guillaume-Thérèse","Salm, Constance de (CdS)"
"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)","Salm, Constance de (CdS)"
"Salis, Sophie de, verh. baronne de Triqueti","Salm, Constance de (CdS)"
"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von","Salm, Constance de (CdS)"
"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux","Salm, Constance de (CdS)"
"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von","Salm, Constance de (CdS)"
"Prony, Gaspard Riche, baron de","Salm, Constance de (CdS)"
"Sanson de Pongerville, Jean-Baptiste","Salm, Constance de (CdS)"
"Marron, Paul-Henri","Salm, Constance de (CdS)"
"Stassart, Goswin Joseph Augustin, baron de","Salm, Constance de (CdS)"
"Sanson de Pongerville, Jean-Baptiste","Salm, Constance de (CdS)"
